date,price_range_percent
2020-12-24,4.35
2020-12-25,5.31
2020-12-26,8.95
2020-12-27,9.13
2020-12-28,4.51
2020-12-29,5.32
2020-12-30,5.77
2020-12-31,3.7
2021-01-01,2.77
2021-01-02,13.97
2021-01-03,7.98
2021-01-04,16.42
2021-01-05,13.95
2021-01-06,10.04
2021-01-07,10.11
2021-01-08,13.87
2021-01-09,6.3
2021-01-10,15.11
2021-01-11,25.52
2021-01-12,11.84
2021-01-13,15.39
2021-01-14,8.4
2021-01-15,14.19
2021-01-16,6.26
2021-01-17,7.79
2021-01-18,6.92
2021-01-19,4.67
2021-01-20,8.36
2021-01-21,17.53
2021-01-22,16.78
2021-01-23,5.93
2021-01-24,5.91
2021-01-25,8.46
2021-01-26,5.69
2021-01-27,10.89
2021-01-28,12.77
2021-01-29,19.78
2021-01-30,5.75
2021-01-31,6.25
2021-02-01,6.96
2021-02-02,7.19
2021-02-03,5.74
2021-02-04,6.26
2021-02-05,4.27
2021-02-06,7.1
2021-02-07,5.81
2021-02-08,21.35
2021-02-09,6.28
2021-02-10,7.44
2021-02-11,9.68
2021-02-12,5.0
2021-02-13,3.57
2021-02-14,5.04
2021-02-15,5.45
2021-02-16,6.65
2021-02-17,7.05
2021-02-18,2.86
2021-02-19,10.16
2021-02-20,5.27
2021-02-21,4.77
2021-02-22,17.49
2021-02-23,19.68
2021-02-24,8.63
2021-02-25,10.31
2021-02-26,8.81
2021-02-27,6.59
2021-02-28,8.04
2021-03-01,10.35
2021-03-02,6.14
2021-03-03,8.83
2021-03-04,8.56
2021-03-05,6.13
2021-03-06,4.0
2021-03-07,5.04
2021-03-08,5.67
2021-03-09,5.47
2021-03-10,7.44
2021-03-11,6.62
2021-03-12,4.73
2021-03-13,9.72
2021-03-14,3.87
2021-03-15,9.29
2021-03-16,6.12
2021-03-17,8.14
2021-03-18,10.81
2021-03-19,5.04
2021-03-20,3.12
2021-03-21,4.93
2021-03-22,7.71
2021-03-23,4.7
2021-03-24,9.04
2021-03-25,4.99
2021-03-26,6.9
2021-03-27,4.29
2021-03-28,2.79
2021-03-29,5.81
2021-03-30,3.84
2021-03-31,3.82
2021-04-01,1.85
2021-04-02,2.37
2021-04-03,4.35
2021-04-04,3.05
2021-04-05,3.81
2021-04-06,3.18
2021-04-07,5.62
2021-04-08,4.4
2021-04-09,1.95
2021-04-10,5.58
2021-04-11,2.53
2021-04-12,2.79
2021-04-13,6.47
2021-04-14,5.37
2021-04-15,2.59
2021-04-16,5.6
2021-04-17,3.66
2021-04-18,15.57
2021-04-19,5.8
2021-04-20,6.76
2021-04-21,5.7
2021-04-22,9.54
2021-04-23,9.23
2021-04-24,4.84
2021-04-25,7.1
2021-04-26,11.13
2021-04-27,3.93
2021-04-28,4.34
2021-04-29,5.15
2021-04-30,8.98
2021-05-01,2.45
2021-05-02,3.14
2021-05-03,4.21
2021-05-04,7.56
2021-05-05,9.33
2021-05-06,5.38
2021-05-07,5.94
2021-05-08,4.37
2021-05-09,4.83
2021-05-10,10.08
2021-05-11,4.15
2021-05-12,17.88
2021-05-13,9.26
2021-05-14,5.26
2021-05-15,8.52
2021-05-16,13.09
2021-05-17,10.46
2021-05-18,8.13
2021-05-19,41.93
2021-05-20,21.15
2021-05-21,25.45
2021-05-22,9.74
2021-05-23,22.61
2021-05-24,15.29
2021-05-25,8.73
2021-05-26,7.59
2021-05-27,8.41
2021-05-28,11.73
2021-05-29,10.51
2021-05-30,8.59
2021-05-31,9.42
2021-06-01,5.89
2021-06-02,6.3
2021-06-03,6.0
2021-06-04,9.87
2021-06-05,8.65
2021-06-06,3.21
2021-06-07,9.89
2021-06-08,9.33
2021-06-09,15.59
2021-06-10,6.94
2021-06-11,4.34
2021-06-12,7.72
2021-06-13,12.79
2021-06-14,5.73
2021-06-15,4.26
2021-06-16,6.13
2021-06-17,5.54
2021-06-18,8.31
2021-06-19,4.36
2021-06-20,7.86
2021-06-21,14.14
2021-06-22,15.22
